drug_name,combined_targets,ChEMBL_conc,node_targets,PD_profile
Ipatasertib,"AKT1, AKT2, AKT3",CHEMBL2177390_10000_nM,['AKT1'],PD_01
PF 477736,"CHEK1, CHEK2",CHEMBL3545137_625_nM,"['CHEK1', 'CHEK2']",PD_02
Prexasertib,"CHEK1, CHEK2",CHEMBL3544911_59_nM,"['CHEK1', 'CHEK2']",PD_02
AZD-8055,"MAPKAP1, MLST8, MTOR",CHEMBL1801204_1250_nM,"['mTOR_c2', 'mTOR_c1']",PD_03
Everolimus,"ABCB11, MTOR",CHEMBL1908360_9375_nM,"['mTOR_c2', 'mTOR_c1']",PD_03
Torin 1,MTOR,CHEMBL1256459_205_nM,"['mTOR_c2', 'mTOR_c1']",PD_03
Lapatinib,"EGFR, ERBB2, ERBB4, KCNH2",CHEMBL554_5000_nM,"['ERBB2', 'EGFR']",PD_04
Neratinib,"EGFR, ERBB2, KDR, NEK2",CHEMBL180022_3750_nM,"['ERBB2', 'EGFR']",PD_04
Niraparib,"PARP, PARP1, PARP10, PARP12, PARP14, PARP2, PARP3, PARP4, TNKS, TNKS2",CHEMBL1094636_10000_nM,['PARP1'],PD_05
Olaparib,"PARP, PARP1, PARP10, PARP16, PARP2, PARP3, PARP4, PARP6, TNKS, TNKS2",CHEMBL521686_10000_nM,['PARP1'],PD_05
MK-1775 (Advosertib),"PLK1, WEE1, WNK3",CHEMBL1976040_625_nM,"['WEE1', 'PLK1']",PD_06
PF-3644022,MAPKAPK2,CHEMBL1231206_2500_nM,['MAPKAPK2'],PD_07
Palbociclib,"CCND1, CCND2, CCNK, CCNT1, CDK2, CDK4, CDK4/6, CDK6, CDK9, FLT3, JAK3",CHEMBL189963_5000_nM,"['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']",PD_08
Capivasertib,AKT1,CHEMBL2325741_10000_nM,['AKT1'],PD_01
Navitoclax,"BCL2, BCL2L1, BCL2L2",CHEMBL443684_3750_nM,"['BCL2L1', 'BCL2']",PD_09
Obatoclax Mesylate,BCL2,CHEMBL2107358_625_nM,['BCL2'],PD_10
Ulixertinib,"ERK1, ERK2, MAPK1, MAPK3",CHEMBL3590106_625_nM,['ERK_f'],PD_11
