,cell_line,threshold,roc_auc,pr_auc,f1_score,balanced_accuracy,roc_auc_ci_low,roc_auc_ci_high,pr_auc_ci_low,pr_auc_ci_high,n_positive,n_negative,pred_min
0,C2BBE1,1e-05,0.6473684210526316,0.8975877192982455,0.8837209302325582,0.5,0.35996710526315795,0.8860197368421053,0.7710734373877757,0.9886363636363636,19.0,5.0,-0.7415911417074138
1,CAR1,,,,,,,,,,,,
2,CL11,1e-05,0.6678321678321678,0.6356060606060606,0.6285714285714286,0.5,0.4380157342657343,0.8853067129629629,0.36609375000000005,0.8925500801282051,11.0,13.0,-0.8717391301715185
3,HT115,1e-05,0.49609375,0.7504126082251082,0.8,0.5,0.25,0.7322689075630252,0.5692274392274392,0.9083196150833955,16.0,8.0,-1.2234064139217111
4,LS123,1e-05,0.746031746031746,0.9638648388648389,0.9333333333333333,0.5,0.5238095238095238,0.9130434782608695,0.8973702784143961,0.9944005270092227,21.0,3.0,-1.44727918028015
5,NCIH508,,,,,,,,,,,,
6,NCIH716,1e-05,0.625,0.9619375573921028,0.9565217391304348,0.5,0.45022727272727275,0.8329824561403508,0.896614919385126,0.9881689395985237,22.0,2.0,-0.9176672141065876
7,NCIH747,1e-05,0.13043478260869565,0.9356970324361629,0.9787234042553191,0.5,0.043478260869565216,0.2727272727272727,0.7993151014791883,0.9519294978757052,23.0,1.0,-0.999271230567286
8,SNU81,1e-05,0.5787037037037037,0.8055655763989097,0.8571428571428571,0.5,0.29764802631578974,0.831764705882353,0.6119667658730159,0.9699404761904762,18.0,6.0,-0.7829179059780709
9,SW1116,1e-05,0.6013986013986015,0.6782188964881273,0.7027027027027027,0.5,0.3568806193806194,0.8363927738927738,0.45672979140602227,0.9200852659245516,13.0,11.0,-0.9799556861401896
10,SW1417,1e-05,0.6777777777777778,0.7727080327080327,0.7692307692307693,0.5,0.4183298319327731,0.8937499999999998,0.5634751591001592,0.9429446175599425,15.0,9.0,-0.7201950941348734
11,SW1463,1e-05,0.6171875,0.7269362581862582,0.8,0.5,0.33426470588235296,0.8509722222222221,0.5219618687308166,0.9635876135795477,16.0,8.0,-0.8801524098714194
12,SW620,1e-05,0.6423611111111112,0.6669973544973545,0.6666666666666666,0.5,0.37454108391608393,0.8642725330225328,0.42682610358391615,0.8573487518326318,12.0,12.0,-1.074070418224999
13,SW837,1e-05,0.2727272727272727,0.9059523809523808,0.9565217391304348,0.5,0.09377990430622013,0.4782608695652174,0.7463060428849903,0.9684500282326369,22.0,2.0,-0.8117305783872251
14,SW948,1e-05,0.717391304347826,0.9856609574000877,0.9787234042553191,0.5,0.5434782608695652,0.8913043478260869,0.934301995519101,0.9944005270092227,23.0,1.0,-1.1745349693384606
15,T84,,,,,,,,,,,,
